cluster_rank,cluster_id,category,board,title,summary,status,votes,comments,url
1,3,ago / post / comments / posts,feature suggestions,API Key / Token,API Key / Token. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 9 9 API Key / Token I would like to be able to create an access token without using Oauth2 for quicker and easier integration with your...,closed,,26,https://suggestions.buffer.com/p/api-key-token?b=feature-suggestions
1,3,ago / post / comments / posts,buffer api,API permissions / scopes,"API permissions / scopes. Buffer Sign in with Buffer Buffer API Roadmap What's New 4 4 API permissions / scopes It’d be great to have API permissions or scopes, so that we can create a key with limited powers. Context:...",in progress,,26,https://suggestions.buffer.com/p/api-permissions-scopes?b=buffer-api
1,3,ago / post / comments / posts,feature suggestions,Archive Content Ideas (including in bulk),Archive Content Ideas (including in bulk). Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 12 12 Archive Content Ideas (including in bulk) Bulk delete create ideas in create ideas Comments Join the...,in progress,,26,https://suggestions.buffer.com/p/archive-content-ideas-including-in-bulk?b=feature-suggestions
1,3,ago / post / comments / posts,feature suggestions,Bulk add/remove tags to Ideas,"Bulk add/remove tags to Ideas. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 6 6 Bulk add/remove tags to Ideas It would be really helpful to select multiple Ideas on a content board, and apply one or...",in progress,,26,https://suggestions.buffer.com/p/bulk-add-remove-tags-to-ideas?b=feature-suggestions
1,3,ago / post / comments / posts,buffer api,Community API,Community API. Buffer Sign in with Buffer Buffer API Roadmap What's New 1 1 Community API Feature : Extending the current Buffer API with Community endpoints ⭐️ Goal : allow users to automate comment replies Use case :...,in progress,,26,https://suggestions.buffer.com/p/community-api?b=buffer-api
1,3,ago / post / comments / posts,feature suggestions,Custom post templates,Custom post templates. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 47 47 Custom post templates Is there a way to save your own post templates? It would make your work much easier. Comments Join the...,in progress,,26,https://suggestions.buffer.com/p/custom-post-templates?b=feature-suggestions
1,3,ago / post / comments / posts,feature suggestions,More Posting schedule options,"More Posting schedule options. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 20 20 More Posting schedule options Currently, we have to input/configure out posting schedule 7 times (for each day). And...",in progress,,26,https://suggestions.buffer.com/p/more-posting-schedule-options?b=feature-suggestions
1,3,ago / post / comments / posts,feature suggestions,Notes Functionality on Mobile Apps,Notes Functionality on Mobile Apps. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 7 7 Notes Functionality on Mobile Apps It would be great for notes to be accessible on the Buffer mobile apps as...,in progress,,26,https://suggestions.buffer.com/p/notes-functionality-on-mobile-apps?b=feature-suggestions
1,3,ago / post / comments / posts,feature suggestions,Notification Customization,"Notification Customization. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 9 9 Notification Customization There’s a pop up everytime I queue a post and it pops up in the most aggravating place, the...",in progress,,26,https://suggestions.buffer.com/p/notification-customization?b=feature-suggestions
1,3,ago / post / comments / posts,feature suggestions,Notification for notes left,Notification for notes left. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 16 16 Notification for notes left To be notified when someone leaves a comment on a draft or post Comments Join the...,in progress,,26,https://suggestions.buffer.com/p/notification-for-notes-left?b=feature-suggestions
1,3,ago / post / comments / posts,feature suggestions,Notifications for mentions of my channels,Notifications for mentions of my channels. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 15 15 Notifications for mentions of my channels turn on notifications on the platform so we can see when...,in progress,,26,https://suggestions.buffer.com/p/notifications-for-mentions-of-my-channels?b=feature-suggestions
1,3,ago / post / comments / posts,feature suggestions,Randomise post schedule,Randomise post schedule. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 10 10 Randomise post schedule I am posting on channel cyber threat intelligence news. the time schedule is persistent for each...,in progress,,26,https://suggestions.buffer.com/p/randomise-post-schedule?b=feature-suggestions
1,3,ago / post / comments / posts,feature suggestions,Reminder for scheduled drafts,"Reminder for scheduled drafts. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 19 19 Reminder for scheduled drafts I created some scheduled drafts and support told me, that I can’t activate a reminder....",in progress,,26,https://suggestions.buffer.com/p/reminder-for-scheduled-drafts?b=feature-suggestions
1,3,ago / post / comments / posts,feature suggestions,Schedule and Publish via API,Schedule and Publish via API. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 124 124 Schedule and Publish via API It would be great if Buffer had an API that enabled posts to be...,in progress,,26,https://suggestions.buffer.com/p/schedule-and-publish-via-api?b=feature-suggestions
1,3,ago / post / comments / posts,feature suggestions,Schedule multiple posts in one go.,Schedule multiple posts in one go.. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 6 6 Schedule multiple posts in one go. On our List < Drafts tab it would be amazing if we could selected the Schedule...,in progress,,26,https://suggestions.buffer.com/p/schedule-multiple-posts-in-one-go?b=feature-suggestions
1,3,ago / post / comments / posts,feature suggestions,Simple post prompts,Simple post prompts. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 7 7 Simple post prompts We should offer users a way to quickly come up with ideas for content using simple prompting...,in progress,,26,https://suggestions.buffer.com/p/simple-post-prompts?b=feature-suggestions
1,3,ago / post / comments / posts,feature suggestions,Sort/filter Sent Posts,"Sort/filter Sent Posts. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 18 18 Sort/filter Sent Posts Comments Join the discussion and help shape the future of Buffer. Once you’re signed in, you’ll be...",closed,,26,https://suggestions.buffer.com/p/sort-filter-sent-posts?b=feature-suggestions
1,3,ago / post / comments / posts,feature suggestions,Tagging team members in post notes,Tagging team members in post notes. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 8 8 Tagging team members in post notes Comments Join the discussion and help shape the future of Buffer. Once you’re...,in progress,,26,https://suggestions.buffer.com/p/tagging-team-members-in-post-notes?b=feature-suggestions
2,2,instagram / posts / ago / post,feature suggestions,Instagram Stories in Reports,Instagram Stories in Reports. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 11 11 Instagram Stories in Reports I can add tags when I schedule Instagram stories but they don’t show up as posts in the...,in progress,,26,https://suggestions.buffer.com/p/instagram-stories-in-reports?b=feature-suggestions
2,2,instagram / posts / ago / post,feature suggestions,Instagram direct messages,Instagram direct messages. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 29 29 Instagram direct messages Would love to see the ability to direct message from within Buffer using Instagram messages....,in progress,,26,https://suggestions.buffer.com/p/instagram-direct-messages?b=feature-suggestions
2,2,instagram / posts / ago / post,feature suggestions,Instagram link in story,Instagram link in story. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 122 122 Instagram link in story I wish I could add links or other stickers on my Insta story so that I can schedule them via...,in progress,,26,https://suggestions.buffer.com/p/instagram-link-in-story?b=feature-suggestions
2,2,instagram / posts / ago / post,feature suggestions,Repost an Instagram post as a story,Repost an Instagram post as a story. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 21 21 Repost an Instagram post as a story Repost an Instagram post as a story Comments Join the discussion and help...,in progress,,26,https://suggestions.buffer.com/p/repost-an-instagram-post-as-a-story?b=feature-suggestions
2,2,instagram / posts / ago / post,feature suggestions,Support collaborators on Instagram posts & reels,Support collaborators on Instagram posts & reels. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 152 152 Support collaborators on Instagram posts & reels Invite collaborator on Instagram posts/reels...,in progress,,26,https://suggestions.buffer.com/p/support-collaborators-on-instagram-posts-reels?b=feature-suggestions
2,2,instagram / posts / ago / post,feature suggestions,Tag Instagram accounts on video,Tag Instagram accounts on video. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 45 45 Tag Instagram accounts on video It should be possible to tag Instagram accounts when posting a video or reel. It...,in progress,,26,https://suggestions.buffer.com/p/tag-instagram-accounts-on-video?b=feature-suggestions
3,4,ago / youtube / content / loading,feature suggestions,Manage Youtube Comments,Manage Youtube Comments. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 32 32 Manage Youtube Comments Make Youtube a fully supported channel and add support to manage also comments through Buffer....,in progress,,26,https://suggestions.buffer.com/p/manage-youtube-comments?b=feature-suggestions
3,4,ago / youtube / content / loading,feature suggestions,Schedule long Youtube video,"Schedule long Youtube video. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 122 122 Schedule long Youtube video Hey, I’m starting to use the Buffer platform, and as most businesses, we have short and...",closed,,26,https://suggestions.buffer.com/p/schedule-long-youtube-video?b=feature-suggestions
3,4,ago / youtube / content / loading,feature suggestions,YouTube: Link scheduled Short to a related video within Buffer,YouTube: Link scheduled Short to a related video within Buffer. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 8 8 YouTube: Link scheduled Short to a related video within Buffer It would be great if...,in progress,,26,https://suggestions.buffer.com/p/youtube-link-scheduled-short-to-a-related-video-within-buffer?b=feature-suggestions
3,4,ago / youtube / content / loading,feature suggestions,YouTube: Shorts Add to Playlist,YouTube: Shorts Add to Playlist. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 21 21 YouTube: Shorts Add to Playlist It would be awesome if I could add my shorts to my shorts-specific playlist....,in progress,,26,https://suggestions.buffer.com/p/youtube-shorts-add-to-playlist?b=feature-suggestions
3,4,ago / youtube / content / loading,feature suggestions,Youtube: Add to Playlist,"Youtube: Add to Playlist. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 13 13 Youtube: Add to Playlist The title pretty much says it all, but being able to add videos to a specific playlist would be...",in progress,,26,https://suggestions.buffer.com/p/youtube-add-to-playlist?b=feature-suggestions
3,4,ago / youtube / content / loading,feature suggestions,Youtube: Shorts Add Related Video,"Youtube: Shorts Add Related Video. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 35 35 Youtube: Shorts Add Related Video For the shorts I publish, it would be a huge time-saver if I could add the...",complete,,26,https://suggestions.buffer.com/p/youtube-shorts-add-related-video?b=feature-suggestions
4,0,ago / instagram / months / post,feature suggestions,Automatically convert video to Instagram aspect ratio,"Automatically convert video to Instagram aspect ratio. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 17 17 Automatically convert video to Instagram aspect ratio I’m am posting 9×16 videos to FB,...",in progress,,26,https://suggestions.buffer.com/p/automatically-convert-video-to-instagram-aspect-ratio?b=feature-suggestions
4,0,ago / instagram / months / post,feature suggestions,Instagram – Support Scheduling 3:4 Media (1080x1440px),Instagram – Support Scheduling 3:4 Media (1080x1440px). Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 10 10 Instagram – Support Scheduling 3:4 Media (1080x1440px) Instagram recently allowed posting...,in progress,,26,https://suggestions.buffer.com/p/instagram-support-scheduling-3-4-media-1080x1440px?b=feature-suggestions
4,0,ago / instagram / months / post,feature suggestions,Mixed Media in Instagram Carousels,Mixed Media in Instagram Carousels. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 61 61 Mixed Media in Instagram Carousels Instagram allows for mixed media (video AND images) in a carousel. Currently...,in progress,,26,https://suggestions.buffer.com/p/mixed-media-in-instagram-carousels?b=feature-suggestions
4,0,ago / instagram / months / post,feature suggestions,Post more pictures (up to 20) on Instagram and Facebook,Post more pictures (up to 20) on Instagram and Facebook. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 49 49 Post more pictures (up to 20) on Instagram and Facebook Instagram recently increased its...,in progress,,26,https://suggestions.buffer.com/p/post-more-pictures-up-to-20-on-instagram-and-facebook?b=feature-suggestions
4,0,ago / instagram / months / post,feature suggestions,Publish instagram Post with multiple videos,Publish instagram Post with multiple videos. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 321 321 Publish instagram Post with multiple videos It’s a native feature on instagram. We can publish a...,in progress,,26,https://suggestions.buffer.com/p/publish-instagram-post-with-multiple-videos?b=feature-suggestions
5,8,posts / approval / ago / post,feature suggestions,Allow post approval notifications to be assigned to specific admins,Allow post approval notifications to be assigned to specific admins. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 25 25 Allow post approval notifications to be assigned to specific admins We use...,in progress,,26,https://suggestions.buffer.com/p/allow-post-approval-notifications-to-be-assigned-to-specific-admins?b=feature-suggestions
5,8,posts / approval / ago / post,feature suggestions,Allow team Owners to also request approval for posts they create,Allow team Owners to also request approval for posts they create. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 30 30 Allow team Owners to also request approval for posts they create As head of...,in progress,,26,https://suggestions.buffer.com/p/allow-team-owners-to-also-request-approval-for-posts-they-create?b=feature-suggestions
5,8,posts / approval / ago / post,feature suggestions,Create a user role only for responding to comments in Community,Create a user role only for responding to comments in Community. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 9 9 Create a user role only for responding to comments in Community I want my marketing...,in progress,,26,https://suggestions.buffer.com/p/create-a-user-role-only-for-responding-to-comments-in-community?b=feature-suggestions
5,8,posts / approval / ago / post,feature suggestions,Email Notifications for Approval Posts between Admin and Team Member,Email Notifications for Approval Posts between Admin and Team Member. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 12 12 Email Notifications for Approval Posts between Admin and Team Member When a...,in progress,,26,https://suggestions.buffer.com/p/email-notifications-for-approval-posts-between-admin-and-team-member?b=feature-suggestions
6,7,image / instagram / ago / post,feature suggestions,Allow for quick cropping for Instagram aspect ratios,Allow for quick cropping for Instagram aspect ratios. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 38 38 Allow for quick cropping for Instagram aspect ratios I have a very common use case where I...,open,,26,https://suggestions.buffer.com/p/allow-for-quick-cropping-for-instagram-aspect-ratios?b=feature-suggestions
6,7,image / instagram / ago / post,feature suggestions,Instagram Auto Crop for Non-Standard Dimension,Instagram Auto Crop for Non-Standard Dimension. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 8 8 Instagram Auto Crop for Non-Standard Dimension If a photo uploaded for Instagram has Non-Standard...,in progress,,26,https://suggestions.buffer.com/p/instagram-auto-crop-for-non-standard-dimension?b=feature-suggestions
6,7,image / instagram / ago / post,feature suggestions,Possibility to modify image sizes,Possibility to modify image sizes. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 6 6 Possibility to modify image sizes Could you add possibility to modify the image sizes that Buffer suggests in the...,planned,,26,https://suggestions.buffer.com/p/possibility-to-modify-image-sizes?b=feature-suggestions
7,9,linkedin / post / posts / comments,feature suggestions,LinkedIn page mentions,LinkedIn page mentions. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 7 7 LinkedIn page mentions On the Community page it’s only possible to see the comments on LinkedIn. The mentions are not...,in progress,,26,https://suggestions.buffer.com/p/linkedin-page-mentions?b=feature-suggestions
7,9,linkedin / post / posts / comments,feature suggestions,Post LinkedIn articles,"Post LinkedIn articles. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 7 7 Post LinkedIn articles I would like to create a draft for publishing LinkedIn articles, which currently does not seem...",in progress,,26,https://suggestions.buffer.com/p/post-linkedin-articles?b=feature-suggestions
7,9,linkedin / post / posts / comments,feature suggestions,Publish LinkedIn Newsletters,"Publish LinkedIn Newsletters. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 29 29 Publish LinkedIn Newsletters In addition do posts in Linkedin,I need to post articles, as well as newletters. It is...",in progress,,26,https://suggestions.buffer.com/p/publish-linkedin-newsletters?b=feature-suggestions
8,12,post / ago / comments / team,feature suggestions,Collaboration & Team Comments,Collaboration & Team Comments. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 17 17 Collaboration & Team Comments I would like to be able to collaborate on ideas with my team by leaving comments on...,in progress,,26,https://suggestions.buffer.com/p/collaboration-team-comments?b=feature-suggestions
8,12,post / ago / comments / team,feature suggestions,Intermediate Editor Permission Level,Intermediate Editor Permission Level. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 7 7 Intermediate Editor Permission Level I am using Buffer for a school team. The goal is for students to be able...,in progress,,26,https://suggestions.buffer.com/p/intermediate-editor-permission-level?b=feature-suggestions
8,12,post / ago / comments / team,feature suggestions,Multiple level of approvals and revision control,Multiple level of approvals and revision control. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 18 18 Multiple level of approvals and revision control We have different team members that need to...,in progress,,26,https://suggestions.buffer.com/p/multiple-level-of-approvals-and-revision-control?b=feature-suggestions
9,17,gif / post / posts / comments,feature suggestions,Alt text for Gifs,Alt text for Gifs. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 6 6 Alt text for Gifs I can’t add alternative text to a gif. Comments Join the discussion and help shape the future of Buffer. Once...,in progress,,26,https://suggestions.buffer.com/p/alt-text-for-gifs?b=feature-suggestions
9,17,gif / post / posts / comments,feature suggestions,Integration with GIF platform,Integration with GIF platform. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 8 8 Integration with GIF platform Add GIFs to my posts easily (since GIPHY is no longer integrated) Comments Join the...,in progress,,26,https://suggestions.buffer.com/p/integration-with-gif-platform?b=feature-suggestions
9,17,gif / post / posts / comments,feature suggestions,The ability to add GIF's,The ability to add GIF's. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 10 10 The ability to add GIF's The ability to add GIF's is a very important feature. The individual app platforms do this and I...,in progress,,26,https://suggestions.buffer.com/p/the-ability-to-add-gif-s?b=feature-suggestions
10,1,content / calendar / ideas / ago,feature suggestions,Define & plan monthly content pillars,"Define & plan monthly content pillars. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 7 7 Define & plan monthly content pillars Building off the organizational improvements for Ideas, we could pave...",in progress,,26,https://suggestions.buffer.com/p/define-plan-monthly-content-pillars?b=feature-suggestions
10,1,content / calendar / ideas / ago,feature suggestions,Plan/Schedule Ideas on the Calendar,Plan/Schedule Ideas on the Calendar. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 227 227 Plan/Schedule Ideas on the Calendar I would like the ability to place ideas on a calendar for planning out a...,planned,,26,https://suggestions.buffer.com/p/plan-schedule-ideas-on-the-calendar?b=feature-suggestions
11,5,post / ideas / posted / comments,feature suggestions,Ideas: show when they are used to avoid reposts,Ideas: show when they are used to avoid reposts. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 77 77 Ideas: show when they are used to avoid reposts It would be great if a counter was added to an...,in progress,,26,https://suggestions.buffer.com/p/ideas-show-when-they-are-used-to-avoid-reposts?b=feature-suggestions
11,5,post / ideas / posted / comments,feature suggestions,Show ideas when composing a Post,"Show ideas when composing a Post. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 20 20 Show ideas when composing a Post If I have an Idea saved under create, and I click to schedule something like a...",in progress,,26,https://suggestions.buffer.com/p/show-ideas-when-composing-a-post?b=feature-suggestions
12,6,posts / post / queue / ago,feature suggestions,Inject post into queue,"Inject post into queue. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 41 41 Inject post into queue If I want to “inject” a post into a queue, I have to drag a post and replace an existing one. Then...",in progress,,26,https://suggestions.buffer.com/p/inject-post-into-queue?b=feature-suggestions
12,6,posts / post / queue / ago,feature suggestions,Select multiple posts at once to drag and drop in another time slot.,Select multiple posts at once to drag and drop in another time slot.. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 13 13 Select multiple posts at once to drag and drop in another time slot....,in progress,,26,https://suggestions.buffer.com/p/select-multiple-posts-at-once-to-drag-and-drop-in-another-time-slot?b=feature-suggestions
13,10,videos / alt / text / ago,feature suggestions,Alt text for bluesky videos,"Alt text for bluesky videos. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 14 14 Alt text for bluesky videos In Bluesky, videos support alt texts, but Buffer does not provide this option. I post...",in progress,,26,https://suggestions.buffer.com/p/alt-text-for-bluesky-videos-cf0f4ff5-5466-40be-996f-44a2684ba9b7?b=feature-suggestions
13,10,videos / alt / text / ago,feature suggestions,Support Alt Text in Mastodon for Videos,"Support Alt Text in Mastodon for Videos. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 20 20 Support Alt Text in Mastodon for Videos Please add alt text for videos, in the same way you support alt...",in progress,,26,https://suggestions.buffer.com/p/support-alt-text-in-mastodon-for-videos?b=feature-suggestions
14,11,social / ago / listening / years,feature suggestions,Social Media Listening,"Social Media Listening. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 11 11 Social Media Listening Social Media Listening would be a great feature to add, especially for orgs wishing for a one-stop...",in progress,,26,https://suggestions.buffer.com/p/social-media-listening-17480a98-bc4b-418e-804e-07ea325c86c9?b=feature-suggestions
14,11,social / ago / listening / years,feature suggestions,"Social Watch List for usernames, hashtags, etc.","Social Watch List for usernames, hashtags, etc.. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 20 20 Social Watch List for usernames, hashtags, etc. I would like to create a watch list of VIP...",in progress,,26,https://suggestions.buffer.com/p/social-watch-list-for-usernames-hashtags-etc?b=feature-suggestions
15,13,posts / language / post / ago,feature suggestions,Configure posting language in Bluesky,Configure posting language in Bluesky. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 12 12 Configure posting language in Bluesky Bluesky allows users to add language information to posts. Bluesky has...,in progress,,26,https://suggestions.buffer.com/p/configure-posting-language-in-bluesky?b=feature-suggestions
15,13,posts / language / post / ago,feature suggestions,Set post language for Mastodon posts,Set post language for Mastodon posts. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 17 17 Set post language for Mastodon posts Add the ability to choose the post language when posting to Mastodon....,in progress,,26,https://suggestions.buffer.com/p/set-post-language-for-mastodon-posts?b=feature-suggestions
16,14,app / ios / channels / post,feature suggestions,"Add select ""all channels"" button on the iOS app - like exists in the web browser interface","Add select ""all channels"" button on the iOS app - like exists in the web browser interface. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 15 15 Add select ""all channels"" button on the iOS app - like...",in progress,,26,https://suggestions.buffer.com/p/add-select-all-channels-button-on-the-ios-app-like-exists-in-the-web-browser-interface?b=feature-suggestions
16,14,app / ios / channels / post,feature suggestions,Allow mobile users to customize the page that appears when they open the app,Allow mobile users to customize the page that appears when they open the app. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 10 10 Allow mobile users to customize the page that appears when they open...,open,,26,https://suggestions.buffer.com/p/allow-mobile-users-to-customize-the-page-that-appears-when-they-open-the-app?b=feature-suggestions
17,15,ago / video / upload / suggestions,feature suggestions,Bulk upload video,"Bulk upload video. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 11 11 Bulk upload video like the image feature you just released, but for video! Comments Join the discussion and help shape the...",in progress,,26,https://suggestions.buffer.com/p/bulk-upload-video?b=feature-suggestions
17,15,ago / video / upload / suggestions,feature suggestions,Support long-form video on X/Twitter,Support long-form video on X/Twitter. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 12 12 Support long-form video on X/Twitter In X platform we as authenticated accounts can upload longtime videos...,in progress,,26,https://suggestions.buffer.com/p/support-long-form-video-on-x-twitter?b=feature-suggestions
18,16,post / ago / posts / stories,feature suggestions,Post Instagram Story and Reel in one post,Post Instagram Story and Reel in one post. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 12 12 Post Instagram Story and Reel in one post Would be convenient to just put a tick when scheduling a reel...,in progress,,26,https://suggestions.buffer.com/p/post-instagram-story-and-reel-in-one-post?b=feature-suggestions
18,16,post / ago / posts / stories,feature suggestions,"Separate Post Queue/Filter for Stories, Reels, Posts","Separate Post Queue/Filter for Stories, Reels, Posts. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 10 10 Separate Post Queue/Filter for Stories, Reels, Posts I want a separate post que for Facebook...",in progress,,26,https://suggestions.buffer.com/p/separate-post-queue-filter-for-stories-reels-posts?b=feature-suggestions
19,18,posts / comments / mastodon / suggestions,feature suggestions,Mastodon polls,Mastodon polls. Buffer Sign in with Buffer Feature Suggestions Roadmap What's New 8 8 Mastodon polls Would be awesome if you could add polls like web does. Comments Join the discussion and help shape the future of...,in progress,,26,https://suggestions.buffer.com/p/mastodon-polls?b=feature-suggestions
